,date,open,high,low,close,adj close,volume,close_delta,rolling_std,daily_k_stds,event_flag,return,net_return
187,2014-12-15,6.74,6.749,6.25,6.4,6.4,23900,-0.05044510385756673,0.05678607147890177,-0.88833586377443,0,0.0,-0.0
188,2014-12-16,6.35,6.48,6.3,6.34,6.34,20000,-0.009375000000000022,0.057130723218457566,-0.16409734503362955,0,0.0,-0.0
189,2014-12-17,6.29,6.4,6.21,6.24,6.24,40100,-0.01577287066246047,0.05574386986302887,-0.2829525596485641,0,0.0,-0.0
190,2014-12-18,6.28,6.37,6.01,6.25,6.25,243100,0.0016025641025640969,0.05436895708803206,0.029475719020493413,0,0.0,-0.0
191,2014-12-19,6.21,6.28,6.05,6.1,6.1,32500,-0.02400000000000002,0.05496006277001802,-0.436680723972764,0,0.0,-0.0
192,2014-12-22,6.0,6.18,5.6,5.7,5.7,125800,-0.06557377049180324,0.05899511368759719,-1.1115118929856238,0,0.0,-0.0
193,2014-12-23,5.63,5.701,5.42,5.57,5.57,76900,-0.02280701754385961,0.03485720881341048,-0.6542984455796459,0,0.0,-0.0
194,2014-12-24,5.52,5.75,5.26,5.73,5.73,67800,0.02872531418312385,0.03332492930218485,0.8619767478768683,0,0.0,-0.0
195,2014-12-26,5.75,5.85,5.7,5.82,5.82,16600,0.015706806282722585,0.03147833354699998,0.4989719757327977,0,0.0,-0.0
196,2014-12-29,5.8,6.18,5.8,6.07,6.07,43100,0.04295532646048117,0.03369348670624074,1.2748851680145332,0,0.0,-0.0
197,2014-12-30,6.11,6.38,6.05,6.31,6.31,20500,0.03953871499176276,0.033677455904216044,1.1740410292338308,0,0.0,-0.0
198,2014-12-31,6.4,6.9,6.32,6.66,6.66,110900,0.05546751188589538,0.037848461129719,1.4655156439726877,0,0.0,-0.0
199,2015-01-02,6.72,6.9,6.72,6.878,6.878,20600,0.032732732732732694,0.037915384558844474,0.8633100551026106,0,0.0,-0.0
200,2015-01-05,6.9,6.9,6.6,6.71,6.71,39200,-0.024425705146845056,0.03945135932724988,-0.6191346904990853,0,0.0,-0.0
201,2015-01-06,6.82,6.82,6.6,6.61,6.61,20700,-0.014903129657227954,0.0387341688436548,-0.38475408411065715,0,0.0,-0.0
202,2015-01-07,6.53,7.35,6.24,7.19,7.19,94500,0.08774583963691374,0.03631835134095647,2.4160193510205437,0,0.0,-0.0
203,2015-01-08,7.26,7.47,7.06,7.31,7.31,72500,0.016689847009735637,0.032612076771448104,0.5117689108455555,0,0.0,-0.0
204,2015-01-09,7.27,7.32,7.01,7.176,7.176,7900,-0.018331053351573146,0.03574404918922058,-0.5128421028779606,0,0.0,-0.0
205,2015-01-12,7.09,7.4,7.09,7.19,7.19,14200,0.0019509476031216444,0.03632939307637523,0.053701629394693445,0,0.0,-0.0
206,2015-01-13,7.15,7.44,7.0,7.07,7.07,15100,-0.016689847009735748,0.03737726666041171,-0.44652401047326634,0,0.0,-0.0
207,2015-01-14,7.0,7.2,7.0,7.11,7.11,13200,0.005657708628005631,0.03653023309316957,0.1548774302527927,0,0.0,-0.0
208,2015-01-15,7.09,7.17,7.0,7.16,7.16,23500,0.007032348804500765,0.03327975938405945,0.21131008560924766,0,0.0,-0.0
209,2015-01-16,6.55,7.25,6.55,7.199,7.199,28800,0.0054469273743016355,0.03210118926666565,0.1696799245988623,0,0.0,-0.0
210,2015-01-20,7.004,7.48,6.918,7.42,7.42,33400,0.030698708153910292,0.031203884203959843,0.9838104754283942,0,0.0,-0.0
211,2015-01-21,7.475,7.69,7.475,7.54,7.54,36500,0.016172506738544534,0.02991019218387844,0.5407022007455203,0,0.0,-0.0
212,2015-01-22,7.7,7.78,7.25,7.75,7.75,21000,0.027851458885941538,0.016339524448353758,1.704545256134895,0,0.0,-0.0
213,2015-01-23,7.78,8.08,7.745,7.745,7.745,47800,-0.000645161290322549,0.016192557474321898,-0.039843075520691745,0,0.0,-0.0
214,2015-01-26,8.04,8.06,7.83,7.94,7.94,18800,0.02517753389283417,0.014733605285491742,1.7088508484496066,0,0.0,-0.0
215,2015-01-27,8.01,8.789,7.91,8.19,8.19,256000,0.03148614609571787,0.015803214870472093,1.9923886597624474,0,0.0,-0.0
216,2015-01-28,8.31,8.5,7.91,8.01,8.01,49100,-0.0219780219780219,0.016961287239671805,-1.2957755898748147,0,0.0,-0.0
217,2015-01-29,8.17,8.67,8.0,8.5,8.5,43600,0.06117353308364537,0.022563896533306014,2.711124516696335,0,0.0,-0.0
218,2015-01-30,8.54,9.15,8.5,8.79,8.79,76400,0.034117647058823364,0.022694113701390732,1.503369882946016,0,0.0,-0.0
219,2015-02-02,8.89,9.08,8.52,8.73,8.73,48500,-0.0068259385665527805,0.023924193904409693,-0.2853153002281355,0,0.0,-0.0
220,2015-02-03,8.73,8.73,8.04,8.33,8.33,44300,-0.0458190148911799,0.03116456773219129,-1.4702278332534473,0,0.0,-0.0
221,2015-02-04,8.53,9.11,8.25,8.69,8.69,56000,0.043217286914765785,0.032695897853556366,1.321795385718854,0,0.0,-0.0
222,2015-02-05,8.8,8.94,8.4,8.46,8.46,26300,-0.026467203682393414,0.03473091629674253,-0.7620646531826694,0,0.0,-0.0
223,2015-02-06,8.4,8.6,8.2,8.26,8.26,22100,-0.023640661938534424,0.03619613163741307,-0.6531267533047356,0,0.0,-0.0
224,2015-02-09,8.5,8.5,8.09,8.18,8.18,30700,-0.009685230024213065,0.035933502582565655,-0.2695320335655834,0,0.0,-0.0
225,2015-02-10,8.13,8.13,7.54,7.642,7.642,38300,-0.06577017114914419,0.040416520217272406,-1.6273091002286892,0,0.0,-0.0
226,2015-02-11,7.58,7.91,7.56,7.87,7.87,41100,0.029835121695891198,0.04147186555615043,0.7194063082476052,0,0.0,-0.0
227,2015-02-12,7.67,7.88,6.8,7.045,7.045,122100,-0.10482846251588307,0.046717674671772534,-2.243871580775014,1,102.48403122782115,2.4840312278211485
228,2015-02-13,7.03,7.37,6.84,7.22,7.22,31200,0.024840312278211485,0.04565690382815171,0.544064756815488,0,0.0,-0.0
229,2015-02-17,7.31,7.58,7.3,7.45,7.45,34500,0.03185595567867039,0.04831827261435289,0.6592941749578939,0,0.0,-0.0
230,2015-02-18,7.58,7.66,7.44,7.6,7.6,30900,0.020134228187919323,0.04809117599527693,0.41866782775070255,0,0.0,-0.0
231,2015-02-19,7.68,7.77,7.521,7.61,7.61,10500,0.0013157894736843812,0.04484366260335387,0.029341703984410338,0,0.0,-0.0
232,2015-02-20,7.7,7.71,7.47,7.52,7.52,13100,-0.01182654402102501,0.04456573127291949,-0.26537304972288084,0,0.0,-0.0
233,2015-02-23,7.6,7.86,7.5,7.8,7.8,63600,0.037234042553191626,0.04671895756998224,0.796979309682097,0,0.0,-0.0
234,2015-02-24,7.9,8.21,7.8,7.8,7.8,23900,0.0,0.04670427366822079,0.0,0,0.0,-0.0
235,2015-02-25,8.2,8.4,7.33,7.42,7.42,42700,-0.048717948717948656,0.04444365922312356,-1.0961732127718509,0,0.0,-0.0
236,2015-02-26,7.35,7.98,7.35,7.86,7.86,38900,0.05929919137466322,0.047650790486393146,1.244453465920913,0,0.0,-0.0
237,2015-02-27,7.896,8.145,7.7,7.71,7.71,28300,-0.019083969465648942,0.031474438847064516,-0.6063323180558887,0,0.0,-0.0
238,2015-03-02,7.7,7.75,7.6,7.65,7.65,53900,-0.0077821011673151474,0.031398902110041656,-0.24784628265159503,0,0.0,-0.0
239,2015-03-03,7.6,7.7,7.54,7.63,7.63,10100,-0.002614379084967422,0.0301415538236924,-0.08673670575378305,0,0.0,-0.0
240,2015-03-04,7.7,8.04,7.7,7.9,7.9,20300,0.035386631716906924,0.03147290915796036,1.1243521067373805,0,0.0,-0.0
241,2015-03-05,7.99,8.11,7.94,8.03,8.03,17300,0.01645569620253151,0.03167577382007618,0.5195041578463935,0,0.0,-0.0
