,date,stock_open,stock_close,index_close,index_close_delta,stock_close_delta,net_close_delta,ncd_rolling_std,ncd_rolling_mean,ncd_daily_k_stds,mu_-_k_*_sd,event_flag,return,net_return,roi
1002,2013-12-26,12.0,11.5,43.686668,0.006527978082419996,-0.041666666666666664,-0.04819464474908666,0.04645928694424743,-0.010371719321597592,-1.037352226411088,-0.03360136279372131,1,100.0,-0.5,-0.005
1003,2013-12-27,11.5,13.0,43.279999,-0.009308766692850114,0.13043478260869565,0.13974354930154576,0.05064214645632913,-0.0061815644455631355,2.7594317990066344,-0.0315026376737277,0,0.0,-0.0,-0.0
1004,2013-12-30,11.5,12.5,43.41,0.0030037200324334584,-0.038461538461538464,-0.041465258493971924,0.05089698385093651,-0.0069394457145694815,-0.814689896269933,-0.03238793764003774,1,92.0,-8.5,-0.085
1005,2013-12-31,11.5,12.5,43.400002,-0.00023031559548481815,0.0,0.00023031559548481815,0.05080123697461189,-0.007257871478330105,0.0045336611704931366,-0.03265848996563605,0,0.0,-0.0,-0.0
1006,2014-01-02,12.0,12.5,43.613335,0.00491550668592132,0.0,-0.00491550668592132,0.050627404315184456,-0.006614570412995523,-0.09709181721661037,-0.03192827257058775,0,0.0,-0.0,-0.0
1007,2014-01-03,12.5,13.0,43.473331,-0.003210119106919881,0.04,0.04321011910691988,0.05111644271489174,-0.005398598612841671,0.8453271943810653,-0.03095681997028754,0,0.0,-0.0,-0.0
1008,2014-01-06,13.0,13.5,42.973331,-0.0115013040983678,0.038461538461538464,0.04996284255990627,0.05160969549594676,-0.003754995175869538,0.9680902411801707,-0.029559842923842918,0,0.0,-0.0,-0.0
1009,2014-01-07,13.5,15.5,44.006668,0.024046006580220554,0.14814814814814814,0.12410214156792759,0.054809815634847506,-0.0012029968900414164,2.2642320564388974,-0.02860790470746517,0,0.0,-0.0,-0.0
1010,2014-01-08,16.0,15.0,45.150002,0.02598092634507123,-0.03225806451612903,-0.05823899086120026,0.05471311865214035,-0.0036186062700222566,-1.0644429031998157,-0.03097516559609243,1,100.0,-0.5,-0.005
1011,2014-01-09,15.0,15.0,48.543335,0.07515687374720378,0.0,-0.07515687374720378,0.055369420538860396,-0.005907894667422008,-1.3573715060726668,-0.033592604936852205,1,96.66666666666667,-3.8333333333333286,-0.03833333333333329
1012,2014-01-10,14.5,14.0,51.203334999999996,0.05479639995892323,-0.06666666666666667,-0.1214630666255899,0.057000395070184055,-0.006888084190891236,-2.130916223932019,-0.03538828172598327,1,107.14285714285715,6.642857142857153,0.06642857142857153
1013,2014-01-13,15.0,14.0,50.220001,-0.019204491269953262,0.0,0.019204491269953262,0.056351456334667954,-0.007679771096369523,0.34079849074172863,-0.0358554992637035,0,0.0,-0.0,-0.0
1014,2014-01-14,13.5,15.0,50.509997999999996,0.005774531943955805,0.07142857142857142,0.06565403948461562,0.05713789211896758,-0.00550765339962441,1.1490455291545663,-0.0340765994591082,0,0.0,-0.0,-0.0
1015,2014-01-15,15.0,14.5,50.793335,0.005609523088874466,-0.03333333333333333,-0.0389428564222078,0.05711002148308836,-0.00691748787453083,-0.6818918188244721,-0.03547249861607501,1,100.0,-0.5,-0.005
1016,2014-01-16,14.5,14.5,51.830002,0.020409508452240856,0.0,-0.020409508452240856,0.05710045865564092,-0.007505310985658593,-0.3574316027008762,-0.03605554031347905,0,0.0,-0.0,-0.0
1017,2014-01-17,13.5,15.5,52.220001,0.007524580068509415,0.06896551724137931,0.06144093717286989,0.057955902583899974,-0.005984121469590625,1.0601325220312945,-0.03496207276154061,0,0.0,-0.0,-0.0
1018,2014-01-21,15.5,17.5,53.34,0.021447701619155463,0.12903225806451613,0.10758455644536066,0.06022366066391778,-0.0035384546098697896,1.7864167547991407,-0.03365028494182868,0,0.0,-0.0,-0.0
